category,Indicateur,Item Code,Item,Element Code,Element,Unit,Flag
Commodity,2511..5071,2511,Wheat and products,5071,Stock Variation,tonnes,S
Commodity,2511..5120,2511,Wheat and products,5120,Waste,tonnes,S
Commodity,2511..5130,2511,Wheat and products,5130,Processing,tonnes,S
Commodity,2511..5141,2511,Wheat and products,5141,Food supply quantity (tonnes),tonnes,S
Commodity,2511..5153,2511,Wheat and products,5153,Other uses,tonnes,S
Commodity,2511..5300,2511,Wheat and products,5300,Domestic supply quantity,tonnes,S
Commodity,2511..5510,2511,Wheat and products,5510,Production,tonnes,S
Commodity,2511..5520,2511,Wheat and products,5520,Feed,tonnes,S
Commodity,2511..5525,2511,Wheat and products,5525,Seed,tonnes,S
Commodity,2511..5610,2511,Wheat and products,5610,Import Quantity,tonnes,S
Commodity,2511..5910,2511,Wheat and products,5910,Export Quantity,tonnes,S
Commodity,2513..5071,2513,Barley and products,5071,Stock Variation,tonnes,S
Commodity,2513..5120,2513,Barley and products,5120,Waste,tonnes,S
Commodity,2513..5130,2513,Barley and products,5130,Processing,tonnes,S
Commodity,2513..5141,2513,Barley and products,5141,Food supply quantity (tonnes),tonnes,S
Commodity,2513..5153,2513,Barley and products,5153,Other uses,tonnes,S
Commodity,2513..5300,2513,Barley and products,5300,Domestic supply quantity,tonnes,S
Commodity,2513..5510,2513,Barley and products,5510,Production,tonnes,S
Commodity,2513..5520,2513,Barley and products,5520,Feed,tonnes,S
Commodity,2513..5525,2513,Barley and products,5525,Seed,tonnes,S
Commodity,2513..5610,2513,Barley and products,5610,Import Quantity,tonnes,S
Commodity,2513..5910,2513,Barley and products,5910,Export Quantity,tonnes,S
Commodity,2514..5071,2514,Maize and products,5071,Stock Variation,tonnes,S
Commodity,2514..5120,2514,Maize and products,5120,Waste,tonnes,S
Commodity,2514..5130,2514,Maize and products,5130,Processing,tonnes,S
Commodity,2514..5141,2514,Maize and products,5141,Food supply quantity (tonnes),tonnes,S
Commodity,2514..5153,2514,Maize and products,5153,Other uses,tonnes,S
Commodity,2514..5300,2514,Maize and products,5300,Domestic supply quantity,tonnes,S
Commodity,2514..5510,2514,Maize and products,5510,Production,tonnes,S
Commodity,2514..5520,2514,Maize and products,5520,Feed,tonnes,S
Commodity,2514..5525,2514,Maize and products,5525,Seed,tonnes,S
Commodity,2514..5610,2514,Maize and products,5610,Import Quantity,tonnes,S
Commodity,2514..5910,2514,Maize and products,5910,Export Quantity,tonnes,S
Commodity,2515..5071,2515,Rye and products,5071,Stock Variation,tonnes,S
Commodity,2515..5120,2515,Rye and products,5120,Waste,tonnes,S
Commodity,2515..5130,2515,Rye and products,5130,Processing,tonnes,S
Commodity,2515..5141,2515,Rye and products,5141,Food supply quantity (tonnes),tonnes,S
Commodity,2515..5153,2515,Rye and products,5153,Other uses,tonnes,S
Commodity,2515..5300,2515,Rye and products,5300,Domestic supply quantity,tonnes,S
Commodity,2515..5510,2515,Rye and products,5510,Production,tonnes,S
Commodity,2515..5520,2515,Rye and products,5520,Feed,tonnes,S
Commodity,2515..5525,2515,Rye and products,5525,Seed,tonnes,S
Commodity,2515..5610,2515,Rye and products,5610,Import Quantity,tonnes,S
Commodity,2515..5910,2515,Rye and products,5910,Export Quantity,tonnes,S
Commodity,2516..5071,2516,Oats,5071,Stock Variation,tonnes,S
Commodity,2516..5120,2516,Oats,5120,Waste,tonnes,S
Commodity,2516..5130,2516,Oats,5130,Processing,tonnes,S
Commodity,2516..5141,2516,Oats,5141,Food supply quantity (tonnes),tonnes,S
Commodity,2516..5153,2516,Oats,5153,Other uses,tonnes,S
Commodity,2516..5300,2516,Oats,5300,Domestic supply quantity,tonnes,S
Commodity,2516..5510,2516,Oats,5510,Production,tonnes,S
Commodity,2516..5520,2516,Oats,5520,Feed,tonnes,S
Commodity,2516..5525,2516,Oats,5525,Seed,tonnes,S
Commodity,2516..5610,2516,Oats,5610,Import Quantity,tonnes,S
Commodity,2516..5910,2516,Oats,5910,Export Quantity,tonnes,S
Commodity,2517..5071,2517,Millet and products,5071,Stock Variation,tonnes,S
Commodity,2517..5120,2517,Millet and products,5120,Waste,tonnes,S
Commodity,2517..5130,2517,Millet and products,5130,Processing,tonnes,S
Commodity,2517..5141,2517,Millet and products,5141,Food supply quantity (tonnes),tonnes,S
Commodity,2517..5153,2517,Millet and products,5153,Other uses,tonnes,S
Commodity,2517..5300,2517,Millet and products,5300,Domestic supply quantity,tonnes,S
Commodity,2517..5510,2517,Millet and products,5510,Production,tonnes,S
Commodity,2517..5520,2517,Millet and products,5520,Feed,tonnes,S
Commodity,2517..5525,2517,Millet and products,5525,Seed,tonnes,S
Commodity,2517..5610,2517,Millet and products,5610,Import Quantity,tonnes,S
Commodity,2517..5910,2517,Millet and products,5910,Export Quantity,tonnes,S
Commodity,2518..5071,2518,Sorghum and products,5071,Stock Variation,tonnes,S
Commodity,2518..5120,2518,Sorghum and products,5120,Waste,tonnes,S
Commodity,2518..5130,2518,Sorghum and products,5130,Processing,tonnes,S
Commodity,2518..5141,2518,Sorghum and products,5141,Food supply quantity (tonnes),tonnes,S
Commodity,2518..5153,2518,Sorghum and products,5153,Other uses,tonnes,S
Commodity,2518..5300,2518,Sorghum and products,5300,Domestic supply quantity,tonnes,S
Commodity,2518..5510,2518,Sorghum and products,5510,Production,tonnes,S
Commodity,2518..5520,2518,Sorghum and products,5520,Feed,tonnes,S
Commodity,2518..5525,2518,Sorghum and products,5525,Seed,tonnes,S
Commodity,2518..5610,2518,Sorghum and products,5610,Import Quantity,tonnes,S
Commodity,2518..5910,2518,Sorghum and products,5910,Export Quantity,tonnes,S
Commodity,2520..5071,2520,"Cereals, Other",5071,Stock Variation,tonnes,S
Commodity,2520..5120,2520,"Cereals, Other",5120,Waste,tonnes,S
Commodity,2520..5130,2520,"Cereals, Other",5130,Processing,tonnes,S
Commodity,2520..5141,2520,"Cereals, Other",5141,Food supply quantity (tonnes),tonnes,S
Commodity,2520..5153,2520,"Cereals, Other",5153,Other uses,tonnes,S
Commodity,2520..5300,2520,"Cereals, Other",5300,Domestic supply quantity,tonnes,S
Commodity,2520..5510,2520,"Cereals, Other",5510,Production,tonnes,S
Commodity,2520..5520,2520,"Cereals, Other",5520,Feed,tonnes,S
Commodity,2520..5525,2520,"Cereals, Other",5525,Seed,tonnes,S
Commodity,2520..5610,2520,"Cereals, Other",5610,Import Quantity,tonnes,S
Commodity,2520..5910,2520,"Cereals, Other",5910,Export Quantity,tonnes,S
Commodity,2531..5071,2531,Potatoes and products,5071,Stock Variation,tonnes,S
Commodity,2531..5120,2531,Potatoes and products,5120,Waste,tonnes,S
Commodity,2531..5130,2531,Potatoes and products,5130,Processing,tonnes,S
Commodity,2531..5141,2531,Potatoes and products,5141,Food supply quantity (tonnes),tonnes,S
Commodity,2531..5153,2531,Potatoes and products,5153,Other uses,tonnes,S
Commodity,2531..5300,2531,Potatoes and products,5300,Domestic supply quantity,tonnes,S
Commodity,2531..5510,2531,Potatoes and products,5510,Production,tonnes,S
Commodity,2531..5520,2531,Potatoes and products,5520,Feed,tonnes,S
Commodity,2531..5525,2531,Potatoes and products,5525,Seed,tonnes,S
Commodity,2531..5610,2531,Potatoes and products,5610,Import Quantity,tonnes,S
Commodity,2531..5910,2531,Potatoes and products,5910,Export Quantity,tonnes,S
Commodity,2532..5071,2532,Cassava and products,5071,Stock Variation,tonnes,S
Commodity,2532..5120,2532,Cassava and products,5120,Waste,tonnes,S
Commodity,2532..5130,2532,Cassava and products,5130,Processing,tonnes,S
Commodity,2532..5141,2532,Cassava and products,5141,Food supply quantity (tonnes),tonnes,S
Commodity,2532..5153,2532,Cassava and products,5153,Other uses,tonnes,S
Commodity,2532..5300,2532,Cassava and products,5300,Domestic supply quantity,tonnes,S
Commodity,2532..5510,2532,Cassava and products,5510,Production,tonnes,S
Commodity,2532..5520,2532,Cassava and products,5520,Feed,tonnes,S
Commodity,2532..5610,2532,Cassava and products,5610,Import Quantity,tonnes,S
Commodity,2532..5910,2532,Cassava and products,5910,Export Quantity,tonnes,S
Commodity,2533..5071,2533,Sweet potatoes,5071,Stock Variation,tonnes,S
Commodity,2533..5120,2533,Sweet potatoes,5120,Waste,tonnes,S
Commodity,2533..5141,2533,Sweet potatoes,5141,Food supply quantity (tonnes),tonnes,S
Commodity,2533..5153,2533,Sweet potatoes,5153,Other uses,tonnes,S
Commodity,2533..5300,2533,Sweet potatoes,5300,Domestic supply quantity,tonnes,S
Commodity,2533..5510,2533,Sweet potatoes,5510,Production,tonnes,S
Commodity,2533..5520,2533,Sweet potatoes,5520,Feed,tonnes,S
Commodity,2533..5525,2533,Sweet potatoes,5525,Seed,tonnes,S
Commodity,2533..5610,2533,Sweet potatoes,5610,Import Quantity,tonnes,S
Commodity,2533..5910,2533,Sweet potatoes,5910,Export Quantity,tonnes,S
Commodity,2534..5071,2534,"Roots, Other",5071,Stock Variation,tonnes,S
Commodity,2534..5120,2534,"Roots, Other",5120,Waste,tonnes,S
Commodity,2534..5141,2534,"Roots, Other",5141,Food supply quantity (tonnes),tonnes,S
Commodity,2534..5153,2534,"Roots, Other",5153,Other uses,tonnes,S
Commodity,2534..5300,2534,"Roots, Other",5300,Domestic supply quantity,tonnes,S
Commodity,2534..5510,2534,"Roots, Other",5510,Production,tonnes,S
Commodity,2534..5520,2534,"Roots, Other",5520,Feed,tonnes,S
Commodity,2534..5525,2534,"Roots, Other",5525,Seed,tonnes,S
Commodity,2534..5610,2534,"Roots, Other",5610,Import Quantity,tonnes,S
Commodity,2534..5910,2534,"Roots, Other",5910,Export Quantity,tonnes,S
Commodity,2535..5071,2535,Yams,5071,Stock Variation,tonnes,S
Commodity,2535..5120,2535,Yams,5120,Waste,tonnes,S
Commodity,2535..5141,2535,Yams,5141,Food supply quantity (tonnes),tonnes,S
Commodity,2535..5153,2535,Yams,5153,Other uses,tonnes,S
Commodity,2535..5300,2535,Yams,5300,Domestic supply quantity,tonnes,S
Commodity,2535..5510,2535,Yams,5510,Production,tonnes,S
Commodity,2535..5520,2535,Yams,5520,Feed,tonnes,S
Commodity,2535..5525,2535,Yams,5525,Seed,tonnes,S
Commodity,2535..5610,2535,Yams,5610,Import Quantity,tonnes,S
Commodity,2535..5910,2535,Yams,5910,Export Quantity,tonnes,S
Commodity,2536..5071,2536,Sugar cane,5071,Stock Variation,tonnes,S
Commodity,2536..5120,2536,Sugar cane,5120,Waste,tonnes,S
Commodity,2536..5130,2536,Sugar cane,5130,Processing,tonnes,S
Commodity,2536..5141,2536,Sugar cane,5141,Food supply quantity (tonnes),tonnes,S
Commodity,2536..5153,2536,Sugar cane,5153,Other uses,tonnes,S
Commodity,2536..5300,2536,Sugar cane,5300,Domestic supply quantity,tonnes,S
Commodity,2536..5510,2536,Sugar cane,5510,Production,tonnes,S
Commodity,2536..5520,2536,Sugar cane,5520,Feed,tonnes,S
Commodity,2536..5525,2536,Sugar cane,5525,Seed,tonnes,S
Commodity,2536..5610,2536,Sugar cane,5610,Import Quantity,tonnes,S
Commodity,2536..5910,2536,Sugar cane,5910,Export Quantity,tonnes,S
Commodity,2537..5071,2537,Sugar beet,5071,Stock Variation,tonnes,S
Commodity,2537..5120,2537,Sugar beet,5120,Waste,tonnes,S
Commodity,2537..5130,2537,Sugar beet,5130,Processing,tonnes,S
Commodity,2537..5141,2537,Sugar beet,5141,Food supply quantity (tonnes),tonnes,S
Commodity,2537..5300,2537,Sugar beet,5300,Domestic supply quantity,tonnes,S
Commodity,2537..5510,2537,Sugar beet,5510,Production,tonnes,S
Commodity,2537..5520,2537,Sugar beet,5520,Feed,tonnes,S
Commodity,2537..5610,2537,Sugar beet,5610,Import Quantity,tonnes,S
Commodity,2537..5910,2537,Sugar beet,5910,Export Quantity,tonnes,S
Commodity,2541..5071,2541,Sugar non-centrifugal,5071,Stock Variation,tonnes,S
Commodity,2541..5130,2541,Sugar non-centrifugal,5130,Processing,tonnes,S
Commodity,2541..5141,2541,Sugar non-centrifugal,5141,Food supply quantity (tonnes),tonnes,S
Commodity,2541..5300,2541,Sugar non-centrifugal,5300,Domestic supply quantity,tonnes,S
Commodity,2541..5510,2541,Sugar non-centrifugal,5510,Production,tonnes,S
Commodity,2541..5610,2541,Sugar non-centrifugal,5610,Import Quantity,tonnes,S
Commodity,2541..5910,2541,Sugar non-centrifugal,5910,Export Quantity,tonnes,S
Commodity,2542..5071,2542,Sugar (Raw Equivalent),5071,Stock Variation,tonnes,S
Commodity,2542..5120,2542,Sugar (Raw Equivalent),5120,Waste,tonnes,S
Commodity,2542..5130,2542,Sugar (Raw Equivalent),5130,Processing,tonnes,S
Commodity,2542..5141,2542,Sugar (Raw Equivalent),5141,Food supply quantity (tonnes),tonnes,S
