Meat indigenous, sheep;Production
Meat indigenous, sheep;Yield/Carcass Weight
Meat indigenous, sheep;Production
Goats;Stocks
Meat, goat;Producing Animals/Slaughtered
Meat, goat;Yield/Carcass Weight
Meat, goat;Production
Skins, goat, fresh;Producing Animals/Slaughtered
Skins, goat, fresh;Yield
Skins, goat, fresh;Production
Meat indigenous, goat;Production
Meat indigenous, goat;Yield/Carcass Weight
Meat indigenous, goat;Production
Pigs;Stocks
Meat, pig;Producing Animals/Slaughtered
Meat, pig;Yield/Carcass Weight
Meat, pig;Production
Meat indigenous, pig;Production
Meat indigenous, pig;Yield/Carcass Weight
Meat indigenous, pig;Production
Chickens;Stocks
Meat, chicken;Producing Animals/Slaughtered
Meat, chicken;Yield/Carcass Weight
Meat, chicken;Production
Eggs, hen, in shell;Laying
Eggs, hen, in shell;Yield
Eggs, hen, in shell;Production
Eggs, hen, in shell (number);Production
Meat indigenous, chicken;Production
Meat indigenous, chicken;Yield/Carcass Weight
Meat indigenous, chicken;Production
Horses;Stocks
Potatoes;Area harvested
Potatoes;Yield
Potatoes;Production
Potatoes;Seed
Cereals,Total;Gross Production Index Number (2004-2006 = 100)
Cereals,Total;Gross per capita Production Index Number (2004-2006 = 100)
Cereals,Total;Net Production Index Number (2004-2006 = 100)
Cereals,Total;Net per capita Production Index Number (2004-2006 = 100)
Cereals,Total;Area harvested
Cereals,Total;Yield
Cereals,Total;Production
Cereals,Total;Seed
Roots and Tubers,Total;Gross Production Index Number (2004-2006 = 100)
Roots and Tubers,Total;Gross per capita Production Index Number (2004-2006 = 100)
Roots and Tubers,Total;Net Production Index Number (2004-2006 = 100)
Roots and Tubers,Total;Net per capita Production Index Number (2004-2006 = 100)
Roots and Tubers,Total;Area harvested
Roots and Tubers,Total;Yield
Roots and Tubers,Total;Production
Roots and Tubers,Total;Seed
Sugar, raw;Gross Production Index Number (2004-2006 = 100)
Sugar, raw;Gross per capita Production Index Number (2004-2006 = 100)
Sugar, raw;Net Production Index Number (2004-2006 = 100)
Sugar, raw;Net per capita Production Index Number (2004-2006 = 100)
Pulses,Total;Area harvested
Pulses,Total;Yield
Pulses,Total;Production
Pulses,Total;Seed
Oilcrops Primary;Gross Production Index Number (2004-2006 = 100)
Oilcrops Primary;Gross per capita Production Index Number (2004-2006 = 100)
Oilcrops Primary;Net Production Index Number (2004-2006 = 100)
Oilcrops Primary;Net per capita Production Index Number (2004-2006 = 100)
Oilcrops Primary;Area harvested
Oilcrops Primary;Yield
Oilcrops Primary;Production
Oilcrops Primary;Seed
Vegetables Primary;Area harvested
Vegetables Primary;Yield
Vegetables Primary;Production
Vegetables and Fruit Primary;Gross Production Index Number (2004-2006 = 100)
Vegetables and Fruit Primary;Gross per capita Production Index Number (2004-2006 = 100)
