SE.ENR.PRIM.FM.ZS;School enrollment, primary (gross), gender parity index (GPI)
SE.ENR.PRSC.FM.ZS;School enrollment, primary and secondary (gross), gender parity index (GPI)
SE.ENR.SECO.FM.ZS;School enrollment, secondary (gross), gender parity index (GPI)
SE.ENR.TERT.FM.ZS;School enrollment, tertiary (gross), gender parity index (GPI)
SE.PRE.DURS;Preprimary education, duration (years)
SE.PRE.ENRR;School enrollment, preprimary (% gross)
SE.PRE.ENRR.FE;School enrollment, preprimary, female (% gross)
SE.PRE.ENRR.MA;School enrollment, preprimary, male (% gross)
SE.PRM.AGES;Primary school starting age (years)
SE.PRM.CMPT.ZS;Primary completion rate, total (% of relevant age group)
SE.PRM.DURS;Primary education, duration (years)
SE.PRM.ENRL;Primary education, pupils
SE.PRM.ENRL.FE.ZS;Primary education, pupils (% female)
SE.PRM.ENRL.TC.ZS;Pupil-teacher ratio, primary
SE.PRM.ENRR;School enrollment, primary (% gross)
SE.PRM.ENRR.FE;School enrollment, primary, female (% gross)
SE.PRM.ENRR.MA;School enrollment, primary, male (% gross)
SE.PRM.GINT.FE.ZS;Gross intake ratio in first grade of primary education, female (% of relevant age group)
SE.PRM.GINT.MA.ZS;Gross intake ratio in first grade of primary education, male (% of relevant age group)
SE.PRM.GINT.ZS;Gross intake ratio in first grade of primary education, total (% of relevant age group)
SE.PRM.PRIV.ZS;School enrollment, primary, private (% of total primary)
SE.PRM.REPT.FE.ZS;Repeaters, primary, female (% of female enrollment)
SE.PRM.REPT.ZS;Repeaters, primary, total (% of total enrollment)
SE.PRM.TCHR;Primary education, teachers
SE.PRM.TCHR.FE.ZS;Primary education, teachers (% female)
SE.SEC.AGES;Lower secondary school starting age (years)
SE.SEC.DURS;Secondary education, duration (years)
SE.SEC.ENRL;Secondary education, pupils
SE.SEC.ENRL.FE.ZS;Secondary education, pupils (% female)
SE.SEC.ENRL.GC;Secondary education, general pupils
SE.SEC.ENRL.GC.FE.ZS;Secondary education, general pupils (% female)
SE.SEC.ENRL.TC.ZS;Pupil-teacher ratio, secondary
SE.SEC.ENRL.VO;Secondary education, vocational pupils
SE.SEC.ENRL.VO.FE.ZS;Secondary education, vocational pupils (% female)
SE.SEC.ENRR;School enrollment, secondary (% gross)
SE.SEC.ENRR.FE;School enrollment, secondary, female (% gross)
SE.SEC.ENRR.MA;School enrollment, secondary, male (% gross)
SE.SEC.TCHR;Secondary education, teachers
SE.TER.ENRR;School enrollment, tertiary (% gross)
SE.TER.ENRR.FE;School enrollment, tertiary, female (% gross)
SE.TER.ENRR.MA;School enrollment, tertiary, male (% gross)
AG.AGR.TRAC.NO;Agricultural machinery, tractors
AG.LND.AGRI.K2;Agricultural land (sq. km)
AG.LND.AGRI.ZS;Agricultural land (% of land area)
AG.LND.ARBL.HA;Arable land (hectares)
AG.LND.ARBL.HA.PC;Arable land (hectares per person)
AG.LND.ARBL.ZS;Arable land (% of land area)
AG.LND.CREL.HA;Land under cereal production (hectares)
AG.LND.CROP.ZS;Permanent cropland (% of land area)
AG.LND.FRST.K2;Forest area (sq. km)
AG.LND.FRST.ZS;Forest area (% of land area)
AG.LND.TOTL.K2;Land area (sq. km)
AG.PRD.CREL.MT;Cereal production (metric tons)
AG.PRD.CROP.XD;Crop production index (2004-2006 = 100)
AG.PRD.FOOD.XD;Food production index (2004-2006 = 100)
AG.PRD.LVSK.XD;Livestock production index (2004-2006 = 100)
AG.SRF.TOTL.K2;Surface area (sq. km)
AG.YLD.CREL.KG;Cereal yield (kg per hectare)
EA.PRD.AGRI.KD;Agriculture value added per worker (constant 2010 US$)
EG.EGY.PRIM.PP.KD;Energy intensity level of primary energy (MJ/$2011 PPP GDP)
EG.ELC.ACCS.RU.ZS;Access to electricity, rural (% of rural population)
EG.ELC.ACCS.ZS;Access to electricity (% of population)
EG.ELC.COAL.ZS;Electricity production from coal sources (% of total)
EG.ELC.FOSL.ZS;Electricity production from oil, gas and coal sources (% of total)
EG.ELC.HYRO.ZS;Electricity production from hydroelectric sources (% of total)
EG.ELC.LOSS.ZS;Electric power transmission and distribution losses (% of output)
EG.ELC.NGAS.ZS;Electricity production from natural gas sources (% of total)
EG.ELC.NUCL.ZS;Electricity production from nuclear sources (% of total)
EG.ELC.PETR.ZS;Electricity production from oil sources (% of total)
EG.ELC.RNEW.ZS;Renewable electricity output (% of total electricity output)
EG.ELC.RNWX.KH;Electricity production from renewable sources, excluding hydroelectric (kWh)
EG.ELC.RNWX.ZS;Electricity production from renewable sources, excluding hydroelectric (% of total)
EG.FEC.RNEW.ZS;Renewable energy consumption (% of total final energy consumption)
EG.IMP.CONS.ZS;Energy imports, net (% of energy use)
EG.USE.COMM.CL.ZS;Alternative and nuclear energy (% of total energy use)
EG.USE.COMM.FO.ZS;Fossil fuel energy consumption (% of total)
EG.USE.CRNW.ZS;Combustible renewables and waste (% of total energy)
EG.USE.ELEC.KH.PC;Electric power consumption (kWh per capita)
EG.USE.PCAP.KG.OE;Energy use (kg of oil equivalent per capita)
EN.ATM.CO2E.EG.ZS;CO2 intensity (kg per kg of oil equivalent energy use)
EN.ATM.CO2E.GF.KT;CO2 emissions from gaseous fuel consumption (kt)
EN.ATM.CO2E.GF.ZS;CO2 emissions from gaseous fuel consumption (% of total)
EN.ATM.CO2E.KD.GD;CO2 emissions (kg per 2010 US$ of GDP)
EN.ATM.CO2E.KT;CO2 emissions (kt)
EN.ATM.CO2E.LF.KT;CO2 emissions from liquid fuel consumption (kt)
EN.ATM.CO2E.LF.ZS;CO2 emissions from liquid fuel consumption (% of total)
EN.ATM.CO2E.PC;CO2 emissions (metric tons per capita)
EN.ATM.CO2E.SF.KT;CO2 emissions from solid fuel consumption (kt)
